categoria,bloque,codigo,descripcion,precio,hay_stock,stock_texto,specs
windows,LENOVO Gamer,83EY006RUS,"LENOVO LEGION 9i (83EY006RUS) 18"" 4K IPS GAMING LAPTOP 240Hz ECLIPSE BLACK [Pad Numérico]",USD 6.800,NO,ING,"Processor: 1.8GHz Intel Core Ultra 9 290HX Plus , Memory: 64GB DDR5-5200 RAM, Storage: 2TB SSD M.2 2280 PCIe® 4.0 Performance NVMe®, Display: 18"" WQXGA IPS Low Blue Light 240Hz Display, DisplayHDR™ True Back 1000, Dolby Vision®, G-SYNC®, Low Blue Light, High Gaming Performance, Flicker Free, 2.5GbE (RJ-45) Wi-Fi® 7, 802.11be 2x2 + BT5.4 Video Card: NVIDIA GeForce RTX 5090 24GB GDDR7 Windows 11 Home x64, preinstalado. Peso 3,49Kg. - 5.0MP with E-shutter Privacy Shutter and Microphone"
windows,MSI Gamer,B2RWEKG-293US,"MSI Cyborg 15 (B2RWEKG-293US) 15,6"" FULL HD IPS GAMING LAPTOP TRANSLUCENT BLACK",USD 1.600,SI,STK,"Processor: 1.8 GHz Base, 4.0 GHz Turbo Intel Core 7 Series 240H Up to 5.2GHz Ten-Core, Memory: 16GB DDR5-5600 MHz RAM, Storage: 1TB NVMe Gen4x4 M.2 SSD, Display: 15.6"" Full HD IPS (1920x1080) 144Hz, 10/100/1000Mbps, Intel Wireless Wi-Fi 6E AX211, Bluetooth 5.3 Video Card: NVIDIA GeForce RTX 5050 Graphics Card Windows 11 Home x 64 bits, preinstalado Peso 1,95Kg, Integrated 720p HD Privacy Shutter Front Camera"
windows,MSI Gamer,D2XWFKG-210US,"MSI Crosshair 16 HX AI (D2XWFKG-210US) 16"" Gaming Laptop Computer - Cosmo Gray",USD 2.400,SI,STK,"Processor: 1.8GHz Intel Core Ultra 7 255HX, Memory: 32GB DDR5-5600 RAM, Storage:1TB NVMe Gen4x4 M.2 SSD, Display: 16"" QHD+ WVA 240Hz, Intel Wi-Fi 6E AX211, Bluetooth 5.3, 10/100/1000 Network Video Card: NVIDIA GeForce RTX 5060 Graphics Card Windows 11 Home x 64 bits, preinstalado Peso 2,50Kg, Integrated 1080p FHD Webcam Privacy Shutter IR FHD with Shutter"
windows,MSI Gamer,E2WFK-027US,"MSI Crosshair 16 Max (E2WFK-027US) 16"" QHD+ OLED IPS GAMING LAPTOP BLACK",USD 3.000,SI,STK,"Processor: Intel® Core™ Ultra 9 275HX (24 Cores, 2.1 - 5.4 GHz), Memory: 32GB DDR5-5600 RAM, Storage:1TB NVMe Gen4x4 M.2 SSD, Display: 16"" QHD+(2560x1600) 240Hz IPS Panel, Intel Wi-Fi 6E AX211, Bluetooth 5.3, 10/100/1000 Network Video Card: NVIDIA® GeForce RTX™ 5060 8GB GDDR7 Windows 11 Home x 64 bits, preinstalado Peso 3,10Kg, Integrated 1080p FHD Webcam Privacy Shutter IR FHD with Shutter"
windows,MSI Gamer,B2WH-004US,"MSI RAIDER 16 Max HX (B2WH-004US) 16"" OLED GAMING LAPTOP 240Hz CORE BLACK",USD 3.400,SI,STK,
windows,MSI Gamer,2560x1600,"Processor: 1.8GHz Intel Core Ultra 9 Series 2 290HX Plus Twenty-Four-Core, Memory: 32GB DDR5-5600 RAM, Storage: 1TB PCIe Gen4 x4 NVMe M.2 SSD, Display: 16"" QHD+ OLED (2560x1600) 240Hz, 2.5GbE LAN, Intel Killer Wi-Fi 7 BE1750, Bluetooth 5.4, Per-key RGB",RAIDER16MXHXB4,NO,,"Video Card: NVIDIA GeForce RTX 5070 Ti 12GB GDDR7 Windows 11 Home x 64 bits, preinstalado Peso 2,60Kg, Integrated 1080p FHD Webcam Privacy Shutter IR FHD with Shutter"
windows,MSI Gamer,E2WGXK-028US,"MSI Crosshair 16 Max (E2WGXK-028US )16"" OLED GAMING LAPTOP 165Hz CORE BLACK",USD 2.900,SI,STK,
windows,MSI Gamer,,"Processor: 1.8GHz Intel Core Ultra 9 290HX Plus, Memory: 32GB DDR5-5600 RAM, Storage: 1TB PCIe Gen4 x4 NVMe M.2 SSD, Display: 16"" QHD+ OLED 165Hz, Intel Wi-Fi 6E AX211, Bluetooth 5.3, 10/100/1000 Network",CROSSHAIR16MAXH,NO,,"Video Card: NVIDIA GeForce RTX 5070 12GB GDDR7 Windows 11 Home x 64 bits, preinstalado Peso 2,60Kg, Integrated 1080p FHD Webcam Privacy Shutter IR FHD with Shutter"
windows,MSI Gamer,B3WH-059US,"MSI Stealth (B3WH-059US) 16"" QHD+ OLED GAMING LAPTOP 240hz CORE BLACK",USD 4.000,SI,STK,"Processor: Intel® Core™ Ultra 9 386H (16 Cores, 1.6 - 4.9 GHz), Memory: 32GB DDR5 5600MHz, Storage: 2TB NVMe SSD, Display: 16"" 16:10 QHD+ (2560 x 1600) OLED, 240hz Display, 100% DCI-P3, Wi-Fi 7 and Bluetooth® v6, IR FHD type (30fps@1080p) with HDR, 4-Zone RGB Gaming Keyboard Video Card: NVIDIA GeForce RTX 5070 12GB GDDR7"
windows,MSI Gamer,B2WI-003US,"MSI RAIDER 16 Max HX (B2WI-003US) 16"" OLED GAMING LAPTOP 240Hz CORE BLACK",USD 3.800,SI,STK,
