categoria,bloque,codigo,descripcion,precio,hay_stock,stock_texto,specs
imac,Mac Mini M4,MMM416512,M4 - 10 core CPU / 10 core GPU - 16GB - 512SSD,USD 1.070,SI,,
imac,Mac Mini M4,MMM424512,M4 - 10 core CPU / 10 core GPU - 24GB - 512SSD,,NO,Sin stock,
imac,Mac Mini M4,MMM4P24512,M4 Pro - 12 Core CPU / 16 Core GPU - 24GB - 512SSD,USD 2.030,SI,,
imac,Mac Mini M4,MMM4P241T,M4 Pro - 12 Core CPU / 16 Core GPU - 24GB - 1TB SSD,,NO,Sin stock,
imac,Mac Studio (Release 2025),MSM4M36512,M4 Max - 14 core CPU / 32 core GPU - 36GB - 512SSD,,NO,Sin stock,
imac,Mac Studio (Release 2025),MSM4M361T,M4 Max - 14 core CPU / 32 core GPU - 36GB - 1TB SSD,,NO,Sin stock,
imac,Mac Studio (Release 2025),MSM4M481T,M4 Max - 16 core CPU / 40 core GPU - 48GB - 1TB SSD,,NO,Sin stock,
imac,Mac Studio (Release 2025),MSM4M641T,M4 Max - 16 core CPU / 40 core GPU - 64GB - 1TB SSD,,NO,Sin stock,
imac,Mac Studio (Release 2025),MSM3U961,M3 Ultra - 28 core CPU / 60 core GPU - 96GB - 1TB SSD,,NO,Sin stock,
imac,Mac Studio (Release 2025),MSM4M1281T,M4 Max - 16 core CPU / 40 core GPU - 128GB - 1TB SSD,,NO,Sin stock,
imac,"Apple Studio Display 27"" 2026",SD27,"Standard Glass, Tilt Adjustable Stand",USD 2.800,SI,,
imac,"Apple Studio Display 27"" 2026",SD271,"Nano Texture Glass, Tilt Adjustable Stand",USD 3.120,SI,,
imac,"Apple Studio Display 27"" 2026",SD273,"Standard Glass, Tilt & Height Adjustable Stand",USD 3.250,SI,,
imac,"Apple Studio Display 27"" 2026",SD274,"Nano-Texture Glass, Tilt & Height Adjustable Stand",USD 3.380,SI,,
imac,"Apple Studio Display 27"" XDR 2026",SD27XDR,"Nano-Texture Glass, Tilt & Height Adjustable Stand",USD 5.300,SI,,
watch,Apple Watch Serie 11,W1142,42mm (GPS),USD 395,SI,,
watch,Apple Watch Serie 11,W1146,46mm (GPS),USD 425,SI,,
watch,Apple Watch Serie 11,W11425G,42mm (GPS + Cellular),USD 760,SI,,
watch,Apple Watch Serie 11,W11465G,46mm (GPS + Cellular),USD 720,SI,,
watch,Apple Watch SE 3,WSE340,40mm,USD 325,SI,,
watch,Apple Watch SE 3,WSE344,44mm,USD 345,SI,,
watch,Apple Watch SE 3,WSE3405G,40mm (GPS + Cellular),USD 450,SI,,
watch,Apple Watch SE 3,WSE3445G,44mm (GPS + Cellular),USD 480,SI,,
watch,Apple Watch Ultra 3,WU493,49mm Ultra Natural Titanium Case,USD 830,SI,,
watch,Apple Watch Ultra 3,WUB493,49mm Ultra Black Titanium Case,USD 820,SI,,
watch,Watch Ultra 3 Milanesse Loop,MF1T4LW/A,Apple Watch Ultra 3 [GPS + Cellular 49mm],USD 960,SI,,
accesorios,AirPods,AP3P,AirPods Pro 3nd Gen,USD 265,SI,,
accesorios,AirPods,AP4,AirPods 4,USD 170,SI,,
accesorios,AirPods,AP4NC,AirPods 4 Noice Cancelling,USD 225,SI,,
accesorios,AirPods,APMC,AirPods Max,USD 550,SI,,
accesorios,AirPods,APMC2,AirPods Max 2,USD 630,SI,,
accesorios,Accesorios Apple,MMWC,Magic Mouse White (USBC),USD 150,SI,,
accesorios,Accesorios Apple,MMBC,Magic Mouse Black (USBC),USD 170,SI,,
accesorios,Accesorios Apple,MTW,Magic Trackpad White,USD 240,SI,,
accesorios,Accesorios Apple,MKIW,Magic Keyboard (Ingles) White Keys,,NO,Sin stock,
accesorios,Accesorios Apple,MKEW,Magic Keyboard (Español) White Keys,USD 210,SI,,
accesorios,Accesorios Apple,MKTIDW,Magic Keyboard with Touch ID (español) White Keys,USD 270,SI,,
accesorios,Accesorios Apple,MKNS,Magic Keyboard w/numeric - Spanish,USD 200,SI,,
accesorios,Accesorios Apple,MKNIW,Magic Keyboard w/numeric (ingles) White Keys,USD 220,SI,,
accesorios,Accesorios Apple,MKNTIDIW,Magic Keyboard w/numeric & Touch ID (ingles) White Keys,USD 320,SI,,
accesorios,Accesorios Apple,MKNTIDIB,Magic Keyboard w/numeric & Touch ID (ingles) Black Keys,USD 360,SI,,
accesorios,Accesorios Apple,4AT,AirTag (4-Pack),USD 125,SI,,
accesorios,Accesorios Apple,20W,Cargador Original 20W,USD 30,SI,,
accesorios,Accesorios Apple,20WARG,Cargador Original 20W Patas ARG,USD 49,SI,,
accesorios,Accesorios Apple,60W,CARGADOR 40W Dynamic Power Adapter with 60W Max,USD 70,SI,,
accesorios,Accesorios Apple,CMS,MagSafe Charger (1M),USD 100,SI,,
accesorios,Accesorios Apple,MGD94LL/A,MagSafe Charger (2M),USD 120,SI,,
accesorios,Accesorios Apple,HUB,Apple USB-C to Digital AV Multiport Adapter,USD 120,SI,,
accesorios,Accesorios Apple,ATV,Apple TV 4K 128GB,USD 340,SI,,
samsung,Samsung S26 Ultra,S26U256,256 GB,USD 1.015,SI,,
samsung,Samsung S26 Ultra,S26U512,512 GB,USD 1.160,SI,,
samsung,Samsung S26 Ultra,S26U1TB,1 TB,USD 1.425,SI,,
samsung,Samsung S26 Plus,S26128P,256 GB,USD 915,SI,,
samsung,Samsung S26 Plus,S26256P,512 GB,USD 1.100,SI,,
samsung,Samsung S26,S26128,256 GB,USD 780,SI,,
samsung,Samsung S26,S26256,512 GB,USD 915,SI,,
samsung,Samsung S25 Ultra,S25U256,256 GB,USD 880,SI,,
samsung,Samsung S25 Ultra,S25U512,512 GB,USD 965,SI,,
samsung,Samsung S25 Ultra,S25U1TB,1 TB,USD 1.030,SI,,
samsung,Samsung Z Flip 8,SZF256,256 GB,USD 1.110,SI,,
samsung,Samsung Z Flip 8,SZF512,512 GB,,NO,Sin stock,
samsung,Samsung Z Fold 8,SZFU512,512 GB,USD 1.830,SI,,
samsung,Tablets Samsung,TABS10FE,Tablet S11 ULTRA 256GB + Pencil,USD 1.270,SI,,
samsung,Tablets Samsung,TABS10FE,"Tablet S10 FE 10.9"" 8/128GB + Pencil",USD 480,SI,,
samsung,Tablets Samsung,TABS10LI,"Tablet S10 LITE 10.9"" 6/128GB (Funda + Pencil)",USD 370,SI,,
samsung,Accesorios Originales Samsung,CS25WC,Cargador Samsung de 25W con cable EP-T2510C,USD 35,SI,,
samsung,Accesorios Originales Samsung,CS25W,Cargador Samsung de 25W EP-T2510,USD 30,SI,,
samsung,Accesorios Originales Samsung,SAMWULT,Galaxy Watch ULTRA 47mm LTE/CELL 4/64GB,USD 390,SI,,
samsung,Accesorios Originales Samsung,BUD3P,Samsung Galaxy Buds 3 Pro,USD 170,SI,,
dji,Drones,MINI5P,DJI MINI 5 PRO FLY MORE COMBO PLUS W/ RC 2,USD 1.540,SI,,
dji,Drones,A1,DRONE ANTIGRAVITY A1 EXPLORER 8K 360 BUNDLE,USD 1.980,SI,,
dji,Drones,AVP,DRONE DJI AVATA PRO VIEW (SOLO DRONE),USD 820,SI,,
dji,Drones,AV360,DRONE DJI AVATA 360 MOTION FLY MORE COMBO,USD 1.560,SI,,
dji,Drones,NEO2,DJI NEO 2 MOTION FLY MORE COMBO,USD 880,SI,,
dji,Drones,MINI5PB,DRONE DJI MINI 5 PRO 4 BATT,USD 1.350,SI,,
dji,"Gafas FPV, Controles y Repuestos",GI,DJI GOGGLES INTEGRA,USD 490,SI,,
dji,"Gafas FPV, Controles y Repuestos",G2,DJI GOGGLES 2,USD 670,SI,,
dji,"Gafas FPV, Controles y Repuestos",RCC,DJI RC CONTROLLER WITH SCREEN,USD 520,SI,,
dji,"Gafas FPV, Controles y Repuestos",RCM2CA,DJI RC MOTION 2 CONTROLLER FOR AVATA,USD 380,SI,,
dji,"Gafas FPV, Controles y Repuestos",CFM3P,DJI CAMERA FILTER (MINI 3 PRO),USD 150,SI,,
dji,"Gafas FPV, Controles y Repuestos",PMini3P,DJI PROPELLERS (MINI 3 PRO),USD 75,SI,,
dji,"Gafas FPV, Controles y Repuestos",KIT,DJI FLY MORE KIT PLUS (MINI 3 PRO),USD 370,SI,,
dji,Micrófonos DJI,MIC3,DJI MIC 3 WIRELESS MICROPHONE /2TX + 1RX + CHARGING CASE,USD 440,SI,,
dji,Micrófonos DJI,MIC3C,DJI MIC 3 COMPACT,USD 240,SI,,
dji,Micrófonos DJI,MICM1,DJI MIC MINI WIRELESS MICROPHONE MOBILE /2TX + 1 MOBILE RX,USD 150,SI,,
dji,Micrófonos DJI,MICM2,DJI MIC MINI WIRELESS MICROPHONE /2TX + 1RX + CHARGING CASE,USD 195,SI,,
dji,Micrófonos DJI,MIC1,DJI MIC MINI 1 (1TX+1RX),USD 125,SI,,
dji,Micrófonos DJI,MIC2,DJI MIC MINI 2ND GEN (2TX+1RX+CHARGING CASE),USD 205,SI,,
dji,Camaras de acción y Vlog- Creación de contenido,I360,Insta 360 Luna Standard Combo 8K,USD 800,SI,,
dji,Camaras de acción y Vlog- Creación de contenido,OA6,DJI OSMO ACTION 6 ADVENTURE COMBO,USD 760,SI,,
dji,Camaras de acción y Vlog- Creación de contenido,OP3,DJI OSMO POCKET 3 CREATOR COMBO,USD 595,SI,,
dji,Camaras de acción y Vlog- Creación de contenido,OP4,DJI OSMO POCKET 4 CREATOR COMBO,USD 760,SI,,
dji,Camaras de acción y Vlog- Creación de contenido,OP4P,DJI OSMO POCKET 4 PRO STANDARD,USD 860,SI,,
dji,Camaras de acción y Vlog- Creación de contenido,OP4PC,DJI OSMO POCKET 4 PRO VLOG COMBO,USD 1.080,SI,,
camaras,Canon,CNSX740,POWERSHOT SX740 (BLACK-SILVER),USD 800,SI,,
camaras,Canon,CNPSV1,POWERSHOT V1,USD 1.120,SI,,
camaras,Canon,CNT7K1855,EOS REBEL T7 18-55 KIT II,USD 590,SI,,
camaras,Canon,CN2000DK2,EOS 2000D KIT 18-55 II,USD 570,SI,,
camaras,Canon,CN2000DK3,EOS 2000D KIT 18-55 III (T7),USD 590,SI,,
camaras,Canon,CN4000DK3,EOS 4000D KIT 18-55 III (T100),USD 690,SI,,
camaras,Canon,CN5D4B,EOS 5D MARK IV BODY,USD 2.020,SI,,
camaras,Canon,CNR1B,EOS R1 BODY,USD 6.090,SI,,
camaras,Canon,CNR100K1845,EOS R100 KIT 18-45,USD 810,SI,,
camaras,Canon,CNR3B,EOS R3 BODY,USD 4.470,SI,,
camaras,Canon,CNR5B,EOS R5 BODY,USD 3.160,SI,,
camaras,Canon,CNR5K24105,EOR R5 KIT 24-105 F/4,USD 4.050,SI,,
camaras,Canon,CNR50VK1430,EOS R50 V KIT 14-30 BLACK WEEK,USD 920,SI,,
camaras,Canon,CNR5C,EOS R5 C CINEMA,USD 3.260,SI,,
camaras,Canon,CNR63B,EOS R6 MARK III BODY (CAJA DE KIT),USD 3.090,SI,,
camaras,Canon,CNR63K24105,EOS R6 MARK III KIT 24-105 F4-7.1 IS STM,USD 3.450,SI,,
camaras,Canon,CNR8B,EOS R8 BODY,USD 1.640,SI,,
camaras,Canon,CNR8K2450,EOS R8 KIT 24-50 F/4.5-6.3 IS STM,USD 1.740,SI,,
camaras,Sony,SYA1M2B,ALFA 1 II BODY,USD 6.500,SI,,
camaras,Sony,SYA6400K2L,ALFA A6400 KIT 16-50/55-210,USD 1.390,SI,,
camaras,Sony,SYA6700B,ALFA A6700 BODY,USD 1.550,SI,,
camaras,Sony,SYA7CRB,ALFA 7 CR BODY,USD 2.500,SI,,
camaras,Sony,SYA7VB,ALFA 7 V BODY BLACK WEEK,USD 2.860,SI,,
camaras,Sony,SYA7CB,ALFA 7C BODY,USD 1.610,SI,,
camaras,Sony,SYA7C2B,ALFA 7 CII BODY,USD 2.040,SI,,
camaras,Sony,SYA7C2K2860,ALFA 7C II KIT 28-60,USD 2.300,SI,,
camaras,Sony,SYA7R3B,ALFA 7R III BODY,USD 1.810,SI,,
camaras,Sony,SYA7R4B,ALFA 7R IV BODY BLACK,USD 2.520,SI,,
camaras,Sony,SYA7R5B,ALFA 7R V BODY,USD 3.680,SI,,
camaras,Sony,SYA9M3,ALFA 9 MK III,USD 5.370,SI,,
camaras,Sony,SYRX1007,DSC RX100 VII,USD 1.630,SI,,
camaras,Sony,SYFX2B,FX2 BODY,USD 2.840,SI,,
camaras,Sony,SYFX3B,FX3 BODY,USD 4.090,SI,,
camaras,Sony,SYFX30B,FX30 BODY,USD 1.800,SI,,
camaras,Sony,SYFX6V,FX6 V,USD 5.790,SI,,
camaras,Sony,SYZVE10BW,ZV-E10 BODY WHITE,USD 760,SI,,
camaras,Sony,SYZVE10K1650,ZV-E10 KIT 16-50 (WHITE-BLACK),USD 980,SI,,
camaras,Sony,SYZVE10K2L,ZV-E10 KIT 16-50/55-210,USD 1.230,SI,,
camaras,Sony,SYZVE102BW,ZV-E10 II BODY (WHI),USD 1.120,SI,,
camaras,Nikon,NKP950,COOLPIX P950,USD 1.030,SI,,
camaras,Nikon,NKD850B,D850 BODY,USD 2.290,SI,,
camaras,Nikon,NKD850K24120,D850 KIT 24-120 BLACK WEEK,USD 2.640,SI,,
camaras,Nikon,NKZ30K1650,Z30 KIT 16-50 MM,USD 940,SI,,
camaras,Nikon,NKZ30K2L,Z30 KIT 16-50/50-250 VR II,USD 1.290,SI,,
camaras,Nikon,NKZ30K18140,Z30 KIT 18-140 VR,USD 1.140,SI,,
camaras,Nikon,NKZ52K2450,Z5 II KIT 24-50,USD 1.940,SI,,
camaras,Nikon,NKZ62B,Z6 II BODY (INGLES),USD 1.840,SI,,
camaras,Nikon,NKZ63B,Z6 III BODY (INGLES/ESPAÑOL),USD 2.530,SI,,
camaras,Nikon,NKZ62K24120,Z6 II KIT 24-120MM,USD 3.310,SI,,
camaras,Nikon,NKZ72B,Z7 II BODY ESPAÑOL,USD 2.185,SI,,
camaras,Nikon,NKZ8K24120,Z8 KIT 24-120,USD 4.250,SI,,
camaras,Nikon,NKZR6K,ZR 6K CINEMA,USD 2.700,SI,,
sonos,Portátiles,PSR,Sonos Roam 2,USD 280,SI,,
sonos,Portátiles,PSM2,Sonos Move 2,USD 695,SI,,
sonos,Sistemas de Audio,E100,Sonos Era 100,USD 330,SI,,
sonos,Sistemas de Audio,E300,Sonos Era 300,USD 690,SI,,
sonos,Sistemas de Audio,S5,Sonos Five,USD 850,SI,,
sonos,Barras de Sonido,BSR,Sonos Ray,USD 340,SI,,
sonos,Barras de Sonido,BSB2,Sonos Beam (2nd Gen),USD 805,SI,,
sonos,Barras de Sonido,BSA,Sonos Arc,USD 1.115,SI,,
sonos,Barras de Sonido,BSAU,Sonos Arc Ultra,USD 1.390,SI,,
sonos,Subwoofer,SBM,Sonos Sub Mini,USD 720,SI,,
sonos,Subwoofer,SB3,Sonos Sub (4rd Gen),USD 1.200,SI,,
sonos,Auriculares,SA,SONOS Ace,USD 565,SI,,
bose,Home Cinema,BSBB,Bose Smart Soundbar Black,USD 680,SI,,
bose,Home Cinema,BSB900W,Bose Smart Soundbar 900 White,USD 1.000,SI,,
bose,Home Cinema,BSBUB,Bose Smart Ultra Soundbar Black,USD 1.180,SI,,
bose,Home Cinema,BSBUW,Bose Smart Ultra Soundbar White,USD 1.180,SI,,
bose,Home Cinema,BBM500B,Bose Bass Module 500 Black,USD 900,SI,,
bose,Home Cinema,BBM700B,Bose Bass Module 700 Black,USD 1.100,SI,,
bose,Home Cinema,BBM700W,Bose Bass Module 700 White,USD 1.100,SI,,
bose,Home Cinema,BSRB,Bose Surround Speaker Black,USD 600,SI,,
bose,Home Cinema,BSRW,Bose Surround Speaker White,USD 600,SI,,
bose,Home Cinema,BSR700B,Bose Surround Speaker 700 Black,USD 800,SI,,
bose,Home Cinema,BSR700W,Bose Surround Speaker 700 White,USD 800,SI,,
bose,Lifestyle,BLUSPB,Bose Lifestyle Ultra Speaker Nue Bose Black,USD 425,SI,,
bose,Lifestyle,BLUSPW,Bose Lifestyle Ultra Speaker White Smoke,USD 445,SI,,
bose,Lifestyle,BLUSPD,Bose Lifestyle Ultra Speaker Driftwood Sand EDICION LIMITADA,USD 480,SI,,
bose,Lifestyle,BLUSBB,Bose Lifestyle Ultra Soundbar Nue Bose Black,USD 1.480,SI,,
bose,Lifestyle,BLUSBW,Bose Lifestyle Ultra Soundbar White Smoke,USD 1.480,SI,,
bose,Lifestyle,BLUSWB,Bose Lifestyle Ultra Subwoofer Nue Bose Black,,NO,Ingresando,
bose,Lifestyle,BLUSWW,Bose Lifestyle Ultra Subwoofer White Smoke,USD 1.260,SI,,
bose,Portátiles,BSLMIB,Bose SoundLink Micro Speaker (2da Gen) Black,,NO,Ingresando,
bose,Portátiles,BSLFLB,Bose SoundLink Flex Speaker (2da Gen) Black,USD 280,SI,,
bose,Portátiles,BSLHO,Bose SoundLink Home Bluetooth Speaker,,NO,Ingresando,
bose,Portátiles,BSLPL,Bose SoundLink Plus Speaker,,NO,Ingresando,
bose,Portátiles,BSLRVB,Bose SoundLink Revolve Serie II Triple Black,USD 490,SI,,
bose,Portátiles,BSLRVS,Bose SoundLink Revolve Serie II Luxe Silver,USD 490,SI,,
bose,Portátiles,BSLMXB,Bose SoundLink Max Speaker Black,USD 590,SI,,
bose,Portátiles,BSMS500S,Bose Smart Speaker 500 Luxe Silver,USD 590,SI,,
bose,Pasivos + Amplificadores,BMAB,Bose Music Amplifier Black,USD 920,SI,,
bose,Pasivos + Amplificadores,BVI191W,Bose Virtually Invisible 191 Speakers White (Pair),USD 550,SI,,
bose,Pasivos + Amplificadores,BVI791W,Bose Virtually Invisible 791 Speakers Series II White (Pair),,NO,Ingresando,
bose,Pasivos + Amplificadores,BENV151,Bose 151 SE Environmental Speakers (Pair),USD 550,SI,,
bose,Pasivos + Amplificadores,BENV251B,Bose 251 Environmental Speakers Black (Pair),USD 870,SI,,
bose,Pasivos + Amplificadores,BENV251W,Bose 251 Environmental Speakers White (Pair),USD 870,SI,,
otros,Lentes,RBMG,RayBan Meta Gen 1,USD 440,SI,,
otros,Lentes,RBMP,RayBan Meta Gen 2 - Polarized Gradient,USD 480,SI,,
otros,Lentes,RBMT,RayBan Meta Gen 2 - Transitions,USD 520,SI,,
otros,Lentes,OM,Oakley Meta,USD 570,SI,,
otros,Consolas,PS5SD,PlayStation 5 Slim Digital,USD 770,SI,,
otros,Consolas,PS5SF,PlayStation 5 Slim Física,USD 850,SI,,
otros,Consolas,PS5Pro,Play Station Pro 2TB,USD 1.310,SI,,
otros,Consolas,PSJ,Joystick Dualsense,USD 95,SI,,
otros,Consolas,NS2,Nintendo Switch 2,USD 620,SI,,
otros,Consolas,VLG29,Volante Logitech G29,USD 380,SI,,
otros,Consolas,XBOXX,XBOX Serie X,USD 1.080,SI,,
otros,Consolas,MQ3,Meta Quest 3 512GB,USD 750,SI,,
otros,Dyson,DHD16C,Dyson HD16 HAIR DRYER NURAL- Ceramic/Patina/Topaz,USD 540,SI,,
otros,Dyson,DHD16VT,Dyson HD18 HAIR DRYER SUPERSONIC R PROFESSIONAL,USD 660,SI,,
otros,Dyson,DHS08C,DYSON HS08 AIRWRAP I.d Straight+Wavy,USD 810,SI,,
otros,Dyson,DHPLAN,DYSON Plancha de Pelo AirStrait + Set de Cepillos + Pinzas para el pelo,USD 1.070,SI,,
otros,Dyson,DHSEC,DYSON Secador de pelo Supersonic– Liso+Ondulado Ceramic,USD 980,SI,,
otros,Dyson,DHMOL,DYSON Moldeador multifunciones y secador Airwrap - Liso+Ondulado con Bolso de Viaje 2026 - 220v. Argentina,USD 1.080,SI,,
otros,Dyson,DHCYC,DYSON Cyclone V10 Animal vacuum,USD 1.040,SI,,
otros,Dyson,DYPUR,DYSON Purificador Hot+Cool HP1 (blanco) 220v. para Argentina,USD 1.410,SI,,
otros,Dyson,DYVEN,DYSON ventilador- Cool Tower Fan (White/silver) 220v. para Argentina,USD 990,SI,,
otros,Garmin,GAS70,GARMIN APPROACH S70 42mm Golf Watch - BLACK CERAMIC/ BLACK PEACH,USD 640,SI,,
otros,Garmin,GEP242,GARMIN EPIX PRO (GEN 2) 42MM SAPHIRE PREMIUM MULTISPORT GPS WATCH - BLANCO/ORO,USD 640,SI,,
otros,Garmin,GEP247,GARMIN EPIX PRO (GEN 2) 47MM SAPHIRE PREMIUM MULTISPORT GPS WATCH - TITANIO GRIS CARBON,USD 700,SI,,
otros,Garmin,GEP251,GARMIN EPIX PRO (GEN 2) 51MM SAPHIRE PREMIUM MULTISPORT GPS WATCH - TITANIO GRIS /BLANCO,USD 840,SI,,
otros,Garmin,GIS2,GARMIN INSTINCT 2S SOLAR Rugged Smartwatch GRAFITO,USD 430,SI,,
otros,Kindle,K11,Kindle Gen 11 / 16GB,USD 190,SI,,
otros,Kindle,KPW,Kindle Paperwhite 12 Gen 16GB,USD 225,SI,,
otros,Kindle,KCS,Kindle Colorsoft Signature,USD 425,SI,,
otros,Kindle,KSC,Kindle Scribe Colorsoft,USD 940,SI,,
